Total customers seated:                      	 3932
Average customer arrivals:                   	 39.4700
Average seating time:                        	 39.4944 seconds
Std. dev. seating time:                      	 29.9156 seconds
Total drinks served:                         	 7695
Average drinks served:                       	 76.3900
Average drink wait time:                     	 89.4352 seconds
Std. dev. drink wait time:                   	 27.5328 seconds
Number of servers:                           	 3
Average idle time (server 1):                	 5558.7879 seconds
Percentage of time spent idle (server 1):    	 77.2054
Std. dev. idle time (server 1):              	 317.5553 seconds
Average idle time (server 2):                	 5563.0303 seconds
Percentage of time spent idle (server 2):    	 77.2643
Std. dev. idle time (server 2):              	 344.9710 seconds
Average idle time (server 3):                	 5545.1515 seconds
Percentage of time spent idle (server 3):    	 77.0160
Std. dev. idle time (server 3):              	 332.7908 seconds
Number of bartenders:                        	 2
Average idle time (bartender 1):             	 6436.9697 seconds
Percentage of time spent idle (bartender 1): 	 89.4024
Std. dev. idle time (bartender 1):           	 144.0766 seconds
Average idle time (bartender 2):             	 6450.6061 seconds
Percentage of time spent idle (bartender 2): 	 89.5918
Std. dev. idle time (bartender 2):           	 145.9020 seconds

Days:                                        	 100
Total customers seated:                      	 4024
Average customer arrivals:                   	 40.4300
Average seating time:                        	 40.1198 seconds
Std. dev. seating time:                      	 31.8839 seconds
Total drinks served:                         	 7764
Average drinks served:                       	 77.0300
Average drink wait time:                     	 87.0216 seconds
Std. dev. drink wait time:                   	 27.2416 seconds
Number of servers:                           	 3
Average idle time (server 1):                	 5456.9697 seconds
Percentage of time spent idle (server 1):    	 75.7912
Std. dev. idle time (server 1):              	 358.9652 seconds
Average idle time (server 2):                	 5515.4545 seconds
Percentage of time spent idle (server 2):    	 76.6035
Std. dev. idle time (server 2):              	 390.1969 seconds
Average idle time (server 3):                	 5538.4848 seconds
Percentage of time spent idle (server 3):    	 76.9234
Std. dev. idle time (server 3):              	 391.5442 seconds
Number of bartenders:                        	 3
Average idle time (bartender 1):             	 6705.7576 seconds
Percentage of time spent idle (bartender 1): 	 93.1355
Std. dev. idle time (bartender 1):           	 118.8730 seconds
Average idle time (bartender 2):             	 6679.3939 seconds
Percentage of time spent idle (bartender 2): 	 92.7694
Std. dev. idle time (bartender 2):           	 129.6606 seconds
Average idle time (bartender 3):             	 6684.2424 seconds
Percentage of time spent idle (bartender 3): 	 92.8367
Std. dev. idle time (bartender 3):           	 123.9659 seconds
